,Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
4639,Peru,PER,2009,0.29007712387662,0.96494183702791,0.31073203112931,5.75033619953112,0.93861824255145,2.27861678888022,0.96543620697161
4640,Peru,PER,2010,0.2907896706302,0.96556014681729,0.3143861566039,5.7613790347791705,0.94110975453308,2.26620980263065,0.95240809689125
4641,Peru,PER,2011,0.29130734965808,0.96604571773701,0.31346319708298,5.77448157586574,0.94005254632005,2.26974907806789,0.93929796725216
4642,Peru,PER,2012,0.29184306950648,0.96651382014224,0.3105303019457099,5.79289532574563,0.9355594720637,2.27944267067733,0.92430009293493
4643,Peru,PER,2013,0.29234912950788,0.96696962412094,0.30638307337586,5.8129561957254205,0.92947022673793,2.29322088795026,0.90826489859933
4644,Peru,PER,2014,0.2927803214048899,0.96736332086509,0.30278613069386,5.83003121141033,0.9258075965119,2.30590569558812,0.8921423021924499
4645,Peru,PER,2015,0.29308482787324,0.96767330019409,0.30179386939805,5.84019482480022,0.92400242609787,2.31207092297259,0.8767816518428
4646,Peru,PER,2016,0.29310319307806,0.96788018684932,0.30370502695677,5.83990341851243,0.93291456394561,2.3139352513263,0.84471603829807
4647,Peru,PER,2017,0.2931051150572299,0.96806385145078,0.3062689959331,5.83744793316234,0.94215106942173,2.31696911990579,0.8166983411472499
4648,Peru,PER,2018,0.29343810863571,0.96782194383071,0.30837894501368,5.83817169274138,0.94273652089437,2.32114230321896,0.81142310237243
4649,Peru,PER,2019,0.29403980698951,0.96710069595977,0.31129874358221,5.83968741716277,0.93903485694566,2.32641601561448,0.8102900419240601
4650,Philippines,PHL,1990,0.28893037224204,0.3447757603619,0.08929073760586,4.57133070475747,0.59351139490492,3.16269664453524,1.00286130459823
4651,Philippines,PHL,1991,0.28932434397771,0.34468979026561,0.0891998499465,4.5734551103373695,0.58962979730485,3.14228991843717,0.99508745279226
4652,Philippines,PHL,1992,0.28967522385059,0.34461015034139,0.08920318296799,4.57586240683037,0.58581992703301,3.11970256298714,0.98588066700553
